grid_version,teff,logg,feh,lam_min,lam_max,lam_step,turbvel,t_value,a,c,n,o,r,s,output_mode,mode,calculation_mode
intensity-demo,4934,1.068,-1.334,4000.0,8000.0,0.01,04,00,-0.09,+0.00,+0.04,+0.00,+0.00,-0.05,Intensity,1D,LTE
intensity-demo,6768,2.379,-0.015,4000.0,8000.0,0.01,01,02,-0.14,+0.00,+0.07,+0.00,+0.00,+0.18,Intensity,1D,LTE
intensity-demo,4912,2.462,-2.216,4000.0,8000.0,0.01,05,01,+0.07,+0.00,+0.17,+0.00,+0.00,+0.14,Intensity,1D,LTE
intensity-demo,6547,4.218,-1.484,4000.0,8000.0,0.01,03,01,-0.05,+0.00,-0.01,+0.00,+0.00,-0.03,Intensity,1D,LTE
intensity-demo,5868,3.156,-1.618,4000.0,8000.0,0.01,03,05,-0.08,+0.00,-0.03,+0.00,+0.00,+0.17,Intensity,1D,LTE
intensity-demo,5924,0.436,-1.866,4000.0,8000.0,0.01,02,05,+0.01,+0.00,+0.14,+0.00,+0.00,+0.04,Intensity,1D,LTE
intensity-demo,5965,3.359,0.346,4000.0,8000.0,0.01,05,05,-0.07,+0.00,+0.08,+0.00,+0.00,+0.08,Intensity,1D,LTE
intensity-demo,6145,2.575,0.051,4000.0,8000.0,0.01,05,05,-0.10,+0.00,-0.05,+0.00,+0.00,+0.18,Intensity,1D,LTE
intensity-demo,4430,2.026,-1.113,4000.0,8000.0,0.01,02,01,-0.03,+0.00,-0.06,+0.00,+0.00,+0.03,Intensity,1D,LTE
intensity-demo,4409,4.898,-1.221,4000.0,8000.0,0.01,05,02,-0.03,+0.00,+0.12,+0.00,+0.00,+0.19,Intensity,1D,LTE
intensity-demo,4764,4.258,-1.412,4000.0,8000.0,0.01,05,05,-0.01,+0.00,+0.13,+0.00,+0.00,+0.01,Intensity,1D,LTE
intensity-demo,6986,1.546,-0.165,4000.0,8000.0,0.01,04,02,+0.04,+0.00,+0.18,+0.00,+0.00,+0.11,Intensity,1D,LTE
intensity-demo,6446,3.991,-1.959,4000.0,8000.0,0.01,01,00,-0.02,+0.00,-0.01,+0.00,+0.00,+0.07,Intensity,1D,LTE
intensity-demo,4206,0.946,-1.597,4000.0,8000.0,0.01,03,02,-0.02,+0.00,-0.02,+0.00,+0.00,+0.01,Intensity,1D,LTE
intensity-demo,5731,4.914,0.439,4000.0,8000.0,0.01,03,01,+0.04,+0.00,+0.10,+0.00,+0.00,+0.12,Intensity,1D,LTE
intensity-demo,5118,4.743,-2.047,4000.0,8000.0,0.01,04,02,-0.05,+0.00,-0.07,+0.00,+0.00,+0.10,Intensity,1D,LTE
intensity-demo,4701,0.873,-0.007,4000.0,8000.0,0.01,03,00,+0.05,+0.00,-0.03,+0.00,+0.00,+0.08,Intensity,1D,LTE
intensity-demo,6966,0.971,-1.074,4000.0,8000.0,0.01,04,05,+0.14,+0.00,+0.10,+0.00,+0.00,+0.15,Intensity,1D,LTE
intensity-demo,4032,4.507,-1.765,4000.0,8000.0,0.01,04,01,-0.04,+0.00,+0.13,+0.00,+0.00,+0.12,Intensity,1D,LTE
intensity-demo,4384,1.804,-0.502,4000.0,8000.0,0.01,03,01,+0.02,+0.00,-0.06,+0.00,+0.00,+0.05,Intensity,1D,LTE
intensity-demo,5043,0.782,-2.341,4000.0,8000.0,0.01,01,05,+0.15,+0.00,+0.25,+0.00,+0.00,+0.19,Intensity,1D,LTE
intensity-demo,6477,1.042,0.103,4000.0,8000.0,0.01,02,00,+0.14,+0.00,+0.18,+0.00,+0.00,-0.04,Intensity,1D,LTE
intensity-demo,5309,4.357,-0.954,4000.0,8000.0,0.01,03,01,-0.15,+0.00,+0.10,+0.00,+0.00,-0.03,Intensity,1D,LTE
intensity-demo,6567,2.904,-0.568,4000.0,8000.0,0.01,02,05,-0.13,+0.00,-0.03,+0.00,+0.00,+0.09,Intensity,1D,LTE
intensity-demo,6187,4.093,-0.275,4000.0,8000.0,0.01,04,00,+0.02,+0.00,-0.07,+0.00,+0.00,+0.04,Intensity,1D,LTE
intensity-demo,6068,0.692,-1.534,4000.0,8000.0,0.01,02,00,-0.11,+0.00,+0.22,+0.00,+0.00,+0.08,Intensity,1D,LTE
intensity-demo,6337,3.943,-0.628,4000.0,8000.0,0.01,01,00,+0.11,+0.00,+0.20,+0.00,+0.00,+0.03,Intensity,1D,LTE
intensity-demo,5572,1.144,-1.653,4000.0,8000.0,0.01,03,00,-0.11,+0.00,-0.08,+0.00,+0.00,+0.03,Intensity,1D,LTE
intensity-demo,4105,3.279,-1.03,4000.0,8000.0,0.01,04,05,-0.10,+0.00,+0.04,+0.00,+0.00,-0.03,Intensity,1D,LTE
intensity-demo,6278,2.782,0.161,4000.0,8000.0,0.01,02,01,+0.08,+0.00,-0.02,+0.00,+0.00,+0.18,Intensity,1D,LTE
intensity-demo,4464,2.085,0.118,4000.0,8000.0,0.01,04,01,-0.02,+0.00,+0.15,+0.00,+0.00,+0.20,Intensity,1D,LTE
intensity-demo,6701,0.521,-0.16,4000.0,8000.0,0.01,05,01,-0.00,+0.00,+0.24,+0.00,+0.00,+0.05,Intensity,1D,LTE
intensity-demo,6290,4.669,-1.327,4000.0,8000.0,0.01,04,02,+0.03,+0.00,-0.05,+0.00,+0.00,+0.19,Intensity,1D,LTE
intensity-demo,4241,3.438,-1.165,4000.0,8000.0,0.01,03,01,-0.07,+0.00,+0.12,+0.00,+0.00,+0.06,Intensity,1D,LTE
intensity-demo,5848,2.435,0.398,4000.0,8000.0,0.01,03,05,-0.14,+0.00,+0.10,+0.00,+0.00,+0.14,Intensity,1D,LTE
intensity-demo,5346,4.603,-2.235,4000.0,8000.0,0.01,02,01,-0.06,+0.00,-0.09,+0.00,+0.00,+0.09,Intensity,1D,LTE
intensity-demo,4127,3.53,-0.653,4000.0,8000.0,0.01,04,05,-0.11,+0.00,+0.11,+0.00,+0.00,+0.16,Intensity,1D,LTE
intensity-demo,5082,4.958,-1.825,4000.0,8000.0,0.01,03,05,+0.14,+0.00,-0.08,+0.00,+0.00,+0.10,Intensity,1D,LTE
intensity-demo,4482,1.942,-2.128,4000.0,8000.0,0.01,01,00,+0.00,+0.00,-0.10,+0.00,+0.00,+0.16,Intensity,1D,LTE
intensity-demo,6076,3.458,-1.126,4000.0,8000.0,0.01,05,01,-0.02,+0.00,+0.23,+0.00,+0.00,+0.10,Intensity,1D,LTE
intensity-demo,6351,2.804,-1.672,4000.0,8000.0,0.01,04,01,+0.09,+0.00,+0.00,+0.00,+0.00,+0.09,Intensity,1D,LTE
intensity-demo,6902,1.159,-0.312,4000.0,8000.0,0.01,01,00,+0.02,+0.00,+0.06,+0.00,+0.00,+0.09,Intensity,1D,LTE
intensity-demo,4809,0.111,-1.291,4000.0,8000.0,0.01,02,05,+0.13,+0.00,+0.16,+0.00,+0.00,+0.06,Intensity,1D,LTE
intensity-demo,6231,1.971,0.279,4000.0,8000.0,0.01,04,05,-0.10,+0.00,+0.18,+0.00,+0.00,+0.18,Intensity,1D,LTE
intensity-demo,5634,3.14,-0.371,4000.0,8000.0,0.01,05,02,+0.09,+0.00,+0.20,+0.00,+0.00,+0.13,Intensity,1D,LTE
intensity-demo,6372,3.043,-1.195,4000.0,8000.0,0.01,02,02,+0.05,+0.00,+0.21,+0.00,+0.00,+0.02,Intensity,1D,LTE
intensity-demo,4319,0.649,-2.195,4000.0,8000.0,0.01,01,02,+0.13,+0.00,-0.09,+0.00,+0.00,+0.06,Intensity,1D,LTE
intensity-demo,4544,3.846,0.475,4000.0,8000.0,0.01,04,02,+0.12,+0.00,+0.03,+0.00,+0.00,+0.11,Intensity,1D,LTE
intensity-demo,6608,4.176,-1.263,4000.0,8000.0,0.01,05,02,+0.03,+0.00,+0.21,+0.00,+0.00,+0.07,Intensity,1D,LTE
intensity-demo,6836,2.232,-0.223,4000.0,8000.0,0.01,01,00,+0.13,+0.00,+0.14,+0.00,+0.00,+0.13,Intensity,1D,LTE
intensity-demo,5900,2.984,-2.093,4000.0,8000.0,0.01,03,02,+0.10,+0.00,+0.01,+0.00,+0.00,+0.15,Intensity,1D,LTE
intensity-demo,5378,1.66,-0.356,4000.0,8000.0,0.01,02,05,+0.03,+0.00,-0.05,+0.00,+0.00,-0.02,Intensity,1D,LTE
intensity-demo,4219,1.215,-1.421,4000.0,8000.0,0.01,05,05,-0.10,+0.00,+0.05,+0.00,+0.00,+0.13,Intensity,1D,LTE
intensity-demo,6015,0.094,-0.759,4000.0,8000.0,0.01,04,00,+0.03,+0.00,+0.12,+0.00,+0.00,+0.04,Intensity,1D,LTE
intensity-demo,6699,3.051,-2.271,4000.0,8000.0,0.01,03,00,+0.05,+0.00,+0.16,+0.00,+0.00,+0.02,Intensity,1D,LTE
intensity-demo,4738,3.882,-1.908,4000.0,8000.0,0.01,03,05,+0.10,+0.00,+0.22,+0.00,+0.00,+0.06,Intensity,1D,LTE
intensity-demo,6663,4.428,-0.412,4000.0,8000.0,0.01,03,00,+0.12,+0.00,+0.01,+0.00,+0.00,+0.12,Intensity,1D,LTE
intensity-demo,6811,1.73,-0.465,4000.0,8000.0,0.01,02,00,-0.03,+0.00,+0.04,+0.00,+0.00,-0.02,Intensity,1D,LTE
intensity-demo,4998,4.811,-1.379,4000.0,8000.0,0.01,01,00,-0.01,+0.00,+0.07,+0.00,+0.00,+0.11,Intensity,1D,LTE
intensity-demo,5142,2.866,0.172,4000.0,8000.0,0.01,01,01,-0.06,+0.00,-0.07,+0.00,+0.00,+0.00,Intensity,1D,LTE
intensity-demo,4358,3.578,0.378,4000.0,8000.0,0.01,04,05,+0.11,+0.00,+0.17,+0.00,+0.00,+0.17,Intensity,1D,LTE
intensity-demo,4662,4.561,-1.467,4000.0,8000.0,0.01,01,01,-0.04,+0.00,-0.00,+0.00,+0.00,+0.05,Intensity,1D,LTE
